cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
Schweiz,9048905,4499282,4549623,6570243,3195998,3374245,2478662,1303284,1175378
- Zürich,1619499,808543,810956,1149858,561479,588379,469641,247064,222577
>> Bezirk Affoltern,58172,28955,29217,45503,22287,23216,12669,6668,6001
......0001 Aeugst am Albis,1995,1001,994,1651,819,832,344,182,162
......0002 Affoltern am Albis,12878,6470,6408,8895,4342,4553,3983,2128,1855
......0003 Bonstetten,5712,2816,2896,4620,2264,2356,1092,552,540
......0004 Hausen am Albis,3950,1912,2038,3248,1561,1687,702,351,351
......0005 Hedingen,4002,2027,1975,3166,1578,1588,836,449,387
......0006 Kappel am Albis,1381,704,677,1136,569,567,245,135,110
......0007 Knonau,2463,1233,1230,1981,974,1007,482,259,223
......0008 Maschwanden,677,345,332,554,285,269,123,60,63
......0009 Mettmenstetten,5763,2852,2911,4784,2343,2441,979,509,470
......0010 Obfelden,5960,2989,2971,4577,2252,2325,1383,737,646
......0011 Ottenbach,2971,1483,1488,2485,1229,1256,486,254,232
......0012 Rifferswil,1179,566,613,1041,502,539,138,64,74
......0013 Stallikon,3906,1933,1973,2992,1461,1531,914,472,442
......0014 Wettswil am Albis,5335,2624,2711,4373,2108,2265,962,516,446
>> Bezirk Andelfingen,33179,16494,16685,28267,13943,14324,4912,2551,2361
......0022 Benken (ZH),883,451,432,754,381,373,129,70,59
......0023 Berg am Irchel,588,300,288,522,268,254,66,32,34
......0024 Buch am Irchel,1066,517,549,967,470,497,99,47,52
......0025 Dachsen,1926,959,967,1633,794,839,293,165,128
......0026 Dorf,727,362,365,640,313,327,87,49,38
......0027 Feuerthalen,3846,1886,1960,2878,1398,1480,968,488,480
......0028 Flaach,1493,763,730,1223,618,605,270,145,125
......0029 Flurlingen,1519,761,758,1255,640,615,264,121,143
......0031 Henggart,2342,1135,1207,2063,989,1074,279,146,133
......0033 Kleinandelfingen,2238,1108,1130,1911,932,979,327,176,151
......0034 Laufen-Uhwiesen,1828,917,911,1548,770,778,280,147,133
......0035 Marthalen,1990,996,994,1740,864,876,250,132,118
......0037 Ossingen,1835,926,909,1613,816,797,222,110,112
......0038 Rheinau,1322,663,659,1075,529,546,247,134,113
......0039 Thalheim an der Thur,1004,522,482,909,476,433,95,46,49
......0040 Trüllikon,1104,553,551,977,478,499,127,75,52
......0041 Truttikon,458,226,232,419,203,216,39,23,16
......0043 Volken,382,190,192,334,164,170,48,26,22
......0291 Andelfingen,3681,1820,1861,3186,1550,1636,495,270,225
......0292 Stammheim,2947,1439,1508,2620,1290,1330,327,149,178
>> Bezirk Bülach,165583,83592,81991,113613,56027,57586,51970,27565,24405
......0051 Bachenbülach,4285,2124,2161,3174,1550,1624,1111,574,537
......0052 Bassersdorf,12296,6169,6127,8902,4400,4502,3394,1769,1625
......0053 Bülach,24501,12088,12413,16773,8075,8698,7728,4013,3715
......0054 Dietlikon,8024,4043,3981,5891,2919,2972,2133,1124,1009
......0055 Eglisau,5750,2860,2890,4321,2127,2194,1429,733,696
......0056 Embrach,10352,5210,5142,7071,3458,3613,3281,1752,1529
......0057 Freienstein-Teufen,2372,1204,1168,1952,970,982,420,234,186
......0058 Glattfelden,5439,2723,2716,4010,1961,2049,1429,762,667
......0059 Hochfelden,2015,991,1024,1699,825,874,316,166,150
......0060 Höri,3564,1867,1697,2162,1063,1099,1402,804,598
......0061 Hüntwangen,1094,554,540,933,464,469,161,90,71
......0062 Kloten,21733,11207,10526,13438,6711,6727,8295,4496,3799
......0063 Lufingen,2838,1429,1409,2240,1125,1115,598,304,294
......0064 Nürensdorf,5862,2913,2949,4799,2373,2426,1063,540,523
......0065 Oberembrach,1130,562,568,967,479,488,163,83,80
......0066 Opfikon,21549,11142,10407,11548,5778,5770,10001,5364,4637
......0067 Rafz,4766,2356,2410,3641,1790,1851,1125,566,559
......0068 Rorbas,3006,1524,1482,2200,1103,1097,806,421,385
......0069 Wallisellen,17755,8938,8817,11901,5844,6057,5854,3094,2760
......0070 Wasterkingen,594,302,292,507,256,251,87,46,41
......0071 Wil (ZH),1572,803,769,1325,666,659,247,137,110
......0072 Winkel,5086,2583,2503,4159,2090,2069,927,493,434
>> Bezirk Dielsdorf,96910,49113,47797,68079,33705,34374,28831,15408,13423
......0081 Bachs,677,347,330,583,295,288,94,52,42
......0082 Boppelsen,1424,703,721,1250,614,636,174,89,85
......0083 Buchs (ZH),6804,3440,3364,4865,2387,2478,1939,1053,886
......0084 Dällikon,4466,2275,2191,3030,1513,1517,1436,762,674
......0085 Dänikon,1864,951,913,1347,660,687,517,291,226
......0086 Dielsdorf,6725,3418,3307,4280,2106,2174,2445,1312,1133
......0087 Hüttikon,957,487,470,774,392,382,183,95,88
......0088 Neerach,3328,1674,1654,2836,1420,1416,492,254,238
......0089 Niederglatt,5508,2760,2748,3972,1956,2016,1536,804,732
......0090 Niederhasli,9644,4835,4809,6956,3424,3532,2688,1411,1277
......0091 Niederweningen,3348,1715,1633,2698,1378,1320,650,337,313
......0092 Oberglatt,7767,3996,3771,4738,2375,2363,3029,1621,1408
......0093 Oberweningen,1905,986,919,1448,732,716,457,254,203
......0094 Otelfingen,2918,1473,1445,2251,1127,1124,667,346,321
......0095 Regensberg,478,233,245,379,183,196,99,50,49
......0096 Regensdorf,20280,10270,10010,12762,6249,6513,7518,4021,3497
......0097 Rümlang,8244,4183,4061,5738,2853,2885,2506,1330,1176
......0098 Schleinikon,868,450,418,770,395,375,98,55,43
......0099 Schöfflisdorf,1412,698,714,1153,561,592,259,137,122
......0100 Stadel,2454,1210,1244,2040,989,1051,414,221,193
......0101 Steinmaur,3716,1933,1783,2647,1320,1327,1069,613,456
......0102 Weiach,2123,1076,1047,1562,776,786,561,300,261
>> Bezirk Hinwil,101988,50973,51015,78886,38729,40157,23102,12244,10858
......0111 Bäretswil,5145,2583,2562,4535,2246,2289,610,337,273
......0112 Bubikon,7663,3764,3899,6692,3238,3454,971,526,445
......0113 Dürnten,8046,4104,3942,6353,3199,3154,1693,905,788
......0114 Fischenthal,2665,1366,1299,2205,1132,1073,460,234,226
